States,District,Cities,Latitude,Longitude,Sample_Population,ISO,ISO_district,Date
"Kedah","Baling","Baling",5.6831,100.9106,2395,"MY-02","MY-02.1",2015-01-01 00:00:00
"Kedah","Baling","Baling",5.8149,100.8916,6412,"MY-02","MY-02.1",2015-01-02 00:00:00
"Kedah","Baling","Baling",5.7138,100.8009,7569,"MY-02","MY-02.1",2015-01-03 00:00:00
"Kedah","Baling","Baling",5.7073,100.9602,2004,"MY-02","MY-02.1",2015-01-04 00:00:00
"Kedah","Baling","Baling",5.6875,100.9262,7823,"MY-02","MY-02.1",2015-01-05 00:00:00
"Kedah","Baling","Baling",5.6914,100.8494,5401,"MY-02","MY-02.1",2015-01-06 00:00:00
"Kedah","Bandar Baharu","Serdang",5.2144,100.6151,5710,"MY-02","MY-02.2",2015-01-07 00:00:00
"Kedah","Bandar Baharu","Serdang",5.1964,100.5844,3547,"MY-02","MY-02.2",2015-01-08 00:00:00
"Kedah","Bandar Baharu","Serdang",5.2035,100.6273,5036,"MY-02","MY-02.2",2015-01-09 00:00:00
"Kedah","Bandar Baharu","Serdang",5.2455,100.6017,6572,"MY-02","MY-02.2",2015-01-10 00:00:00
"Kedah","Bandar Baharu","Serdang",5.2251,100.595,3340,"MY-02","MY-02.2",2015-01-11 00:00:00
"Kedah","Bandar Baharu","Serdang",5.2648,100.6143,4828,"MY-02","MY-02.2",2015-01-12 00:00:00
"Kedah","Kuala Muda","Sungai Petani",5.6552,100.5292,7595,"MY-02","MY-02.4",2015-01-13 00:00:00
"Kedah","Kuala Muda","Sungai Petani",5.647,100.4862,3041,"MY-02","MY-02.4",2015-01-14 00:00:00
"Kedah","Kuala Muda","Sungai Petani",5.6432,100.5699,4013,"MY-02","MY-02.4",2015-01-15 00:00:00
"Kedah","Kuala Muda","Sungai Petani",5.6519,100.549,7397,"MY-02","MY-02.4",2015-01-16 00:00:00
"Kedah","Kuala Muda","Sungai Petani",5.6852,100.5695,6954,"MY-02","MY-02.4",2015-01-17 00:00:00
"Kedah","Kuala Muda","Sungai Petani",5.6695,100.4926,5930,"MY-02","MY-02.4",2015-01-18 00:00:00
"Kedah","Kubang Pasu","Jitra",6.2413,100.4322,3607,"MY-02","MY-02.5",2015-01-19 00:00:00
"Kedah","Kubang Pasu","Jitra",6.2793,100.4203,6054,"MY-02","MY-02.5",2015-01-20 00:00:00
"Kedah","Kubang Pasu","Jitra",6.273,100.4583,5282,"MY-02","MY-02.5",2015-01-21 00:00:00
"Kedah","Kubang Pasu","Jitra",6.3288,100.478,1553,"MY-02","MY-02.5",2015-01-22 00:00:00
"Kedah","Kubang Pasu","Jitra",6.2683,100.4248,7607,"MY-02","MY-02.5",2015-01-23 00:00:00
"Kedah","Kubang Pasu","Jitra",6.2757,100.422,8364,"MY-02","MY-02.5",2015-01-24 00:00:00
"Kedah","Kubang Pasu","Jitra",6.3288,100.478,8008,"MY-02","MY-02.5",2015-01-25 00:00:00
"Kedah","Kubang Pasu","Sintok",6.4576,100.503,4607,"MY-02","MY-02.5",2015-01-26 00:00:00
"Kedah","Kubang Pasu","Sintok",6.446,100.486,3015,"MY-02","MY-02.5",2015-01-27 00:00:00
"Kedah","Kubang Pasu","Sintok",6.44,100.531,6021,"MY-02","MY-02.5",2015-01-28 00:00:00
